Statistic Label,Area of Residence,ICD 10 Diagnostic Group,Year,UNIT,VALUE
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2010,No. per 1000 Pop.,1.61
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2011,No. per 1000 Pop.,1.46
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2012,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2013,No. per 1000 Pop.,1.66
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.66
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.64
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.64
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.61
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.58
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.61
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.24
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.21
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.21
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.17
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.16
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Fingal,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2007,No. per 1000 Pop.,1.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2008,No. per 1000 Pop.,2.1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2009,No. per 1000 Pop.,2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2010,No. per 1000 Pop.,1.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2011,No. per 1000 Pop.,1.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2012,No. per 1000 Pop.,1.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2013,No. per 1000 Pop.,1.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2014,No. per 1000 Pop.,1.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2015,No. per 1000 Pop.,1.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2016,No. per 1000 Pop.,1.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2007,No. per 1000 Pop.,1.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.11
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2009,No. per 1000 Pop.,1.5
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2010,No. per 1000 Pop.,1.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2011,No. per 1000 Pop.,1.49
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2012,No. per 1000 Pop.,1.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2013,No. per 1000 Pop.,1.57
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.46
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.7
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.53
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.61
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.63
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.58
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.61
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.67
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.58
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.66
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.64
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.65
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.21
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dun Laoghaire-Rathdown,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.15
